Nombre	Provincia	Cuenta Individual	Latitud	Longitud	day	month	year
Ara macao	Alajuela	2	10.68515	-84.18112	14	10	2023
Ara macao	Alajuela	2	10.356112	-84.51478	10	3	2023
Ara macao	Alajuela	4	10.686364	-84.20616	30	4	2023
Ara macao	Alajuela	2	10.356112	-84.51478	8	11	2023
Ara macao	Alajuela	2	10.686364	-84.20616	26	4	2023
Ara macao	Alajuela	4	10.6767	-84.2238	7	3	2023
Ara macao	Alajuela	6	10.686364	-84.20616	18	11	2023
Ara macao	Alajuela	4	10.711517	-84.206795	21	4	2023
Ara macao	Alajuela	2	9.867198	-84.64803	9	8	2023
Ara macao	Alajuela	6	10.398535	-84.31474	13	5	2023
Ara macao	Alajuela	4	10.356112	-84.51478	17	4	2023
Ara macao	Alajuela	12	10.674404	-84.23522	16	4	2023
Ara macao	Alajuela	2	10.711517	-84.206795	4	10	2023
Ara macao	Alajuela	13	10.356112	-84.51478	23	10	2023
Ara macao	Alajuela	2	10.356112	-84.51478	19	4	2023
Ara macao	Alajuela	1	10.686364	-84.20616	25	4	2023
Ara macao	Alajuela	2	9.900908	-84.603264	19	11	2023
Ara macao	Alajuela	1	10.686364	-84.20616	22	4	2023
Ara macao	Alajuela	4	10.686364	-84.20616	18	1	2023
Ara macao	Alajuela	2	9.867198	-84.64803	26	3	2023
Ara macao	Alajuela	2	10.686364	-84.20616	17	11	2023
Ara macao	Alajuela	2	9.900908	-84.603264	23	11	2023
Ara macao	Alajuela	1	10.686364	-84.20616	21	4	2023
Ara macao	Alajuela	2	10.50247	-84.69105	15	10	2023
Ara macao	Alajuela	1	10.628885	-84.282135	17	2	2023
Ara macao	Alajuela	1	10.686823	-84.18056	17	4	2023
Ara macao	Alajuela	2	10.36145	-84.44075	17	10	2023
Ara macao	Alajuela	8	10.718962	-84.16928	24	8	2023
Ara macao	Alajuela	4	10.686364	-84.20616	14	9	2023
Ara macao	Alajuela	3	10.686364	-84.20616	27	7	2023
Ara macao	Alajuela	1	10.711517	-84.206795	15	4	2023
Ara macao	Alajuela	2	10.122488	-84.48627	2	12	2023
Ara macao	Alajuela	2	10.327559	-84.53412	4	7	2023
Ara macao	Alajuela	2	10.711517	-84.206795	31	10	2023
Ara macao	Alajuela	2	9.937236	-84.37613	24	3	2023
Ara macao	Alajuela	8	9.899406	-84.64733	3	4	2023
Ara macao	Alajuela	5	9.932425	-84.38173	14	10	2023
Ara macao	Alajuela	6	10.6767	-84.2238	1	3	2023
Ara macao	Alajuela	2	9.943872	-84.54204	30	9	2023
Ara macao	Alajuela	4	10.6767	-84.2238	7	3	2023
Ara macao	Alajuela	2	9.913765	-84.56686	7	3	2023
Ara macao	Alajuela	2	9.923898	-84.39324	12	3	2023
Ara macao	Alajuela	3	10.686364	-84.20616	26	11	2023
Ara macao	Alajuela	1	10.686364	-84.20616	18	9	2023
Ara macao	Alajuela	2	10.356112	-84.51478	22	5	2023
Ara macao	Alajuela	2	10.68515	-84.18112	22	2	2023
Ara macao	Alajuela	2	9.923898	-84.39324	12	3	2023
Ara macao	Alajuela	2	9.913765	-84.56686	14	3	2023
Ara macao	Alajuela	32	9.923905	-84.393166	13	11	2023
Ara macao	Alajuela	3	10.686364	-84.20616	11	10	2023
Ara macao	Alajuela	2	10.6767	-84.2238	24	3	2023
Ara macao	Alajuela	2	10.668115	-84.23883	30	7	2023
Ara macao	Alajuela	2	9.867198	-84.64803	6	4	2023
Ara macao	Alajuela	2	10.685918	-84.19221	1	8	2023
Ara macao	Alajuela	10	10.388807	-84.58305	15	9	2023
Ara macao	Alajuela	2	10.686364	-84.20616	12	4	2023
Ara macao	Alajuela	2	9.867198	-84.64803	6	4	2023
Ara macao	Alajuela	5	9.923898	-84.39324	25	2	2023
Ara macao	Alajuela	2	10.446511	-84.57195	1	4	2023
Ara macao	Alajuela	1	9.900908	-84.603264	11	3	2023
Ara macao	Alajuela	1	10.110064	-84.44987	15	7	2019
Ara macao	Alajuela	8	10.685333	-84.18948	20	12	2023
Ara macao	Alajuela	2	10.6767	-84.2238	2	4	2023
Ara macao	Alajuela	12	10.711517	-84.206795	13	4	2023
Ara macao	Alajuela	6	10.349172	-84.43178	24	9	2023
